Municipio,Año,TempMax °C,TempMed °C
Chita,2014,41.07,"30,18"
Chita,2015,42.87,"31,52"
Chita,2016,42.23,"30,44"
Chita,2017,38.75,"26,70"
Chita,2018,37.81,"26,92"
Chita,2019,40.35,"28,86"
Chita,2020,39.75,"28,65"
Chita,2021,38.51,"31,15"
Chitaraque,2001,32.13,"26,87"
Chitaraque,2002,33.01,"27,27"
Chitaraque,2003,33.55,"26,73"
Chitaraque,2004,33.55,"26,90"
Chitaraque,2005,33.83,"26,32"
Chitaraque,2006,32.85,"26,49"
Chitaraque,2007,30.89,"26,65"
Chitaraque,2008,30.51,"29,60"
Chitaraque,2009,31.07,"26,34"
Chitaraque,2010,32.57,"26,57"
Chitaraque,2011,30.89,"26,01"
Chitaraque,2012,32.71,"26,37"
Chitaraque,2013,32.03,"26,65"
Chitaraque,2014,31.93,"26,89"
Chitaraque,2015,33.83,"27,32"
Chitaraque,2016,34.21,"26,81"
Chitaraque,2017,30.95,"29,05"
Chitaraque,2018,35.01,"28,11"
Chitaraque,2019,32.23,"26,62"
Chitaraque,2020,33.93,"30,36"
Chitaraque,2021,30.79,"26,81"
Chivatá,2001,40.77,"30,75"
Chivatá,2002,42.63,"30,48"
Chivatá,2003,41.57,"28,13"
Chivatá,2004,41.57,"27,17"
Chivatá,2005,41.35,"27,43"
Chivatá,2006,34.75,"26,01"
Chivatá,2007,40.29,"26,75"
Chivatá,2008,36.73,"26,18"
Chivatá,2009,36.69,"25,68"
Chivatá,2010,40.75,"29,22"
Chivatá,2011,32.85,"22,94"
Chivatá,2012,39.17,"27,14"
Chivatá,2013,39.61,"28,32"
Chivatá,2014,41.89,"28,79"
Chivatá,2015,40.89,"30,33"
Chivatá,2016,45.43,"27,75"
Chivatá,2017,38.87,"26,34"
Chivatá,2018,41.07,"26,57"
Chivatá,2019,39.85,"27,51"
Chivatá,2020,40.33,"26,65"
Chivatá,2021,36.01,"30,11"
Chivor,2001,33.43,"26,61"
Chivor,2002,32.69,"25,89"
Chivor,2003,33.57,"26,24"
Chivor,2004,33.57,"26,93"
Chivor,2005,32.57,"25,94"
Chivor,2006,32.11,"25,91"
Chivor,2007,35.19,"26,49"
Chivor,2008,31.31,"24,84"
Chivor,2009,30.15,"25,78"
Chivor,2010,34.03,"27,28"
Chivor,2011,30.75,"25,84"
Chivor,2012,30.57,"25,51"
Chivor,2013,30.77,"25,57"
Chivor,2014,30.07,"25,87"
Chivor,2015,31.45,"25,61"
Chivor,2016,31.63,"26,00"
Chivor,2017,28.69,"26,41"
Chivor,2018,30.03,"26,30"
Chivor,2019,33.43,"25,40"
Chivor,2020,34.67,"29,31"
Chivor,2021,29.25,"26,07"
Ciénega,2001,35.37,"26,32"
Ciénega,2002,33.57,"25,37"
Ciénega,2003,34.35,"25,65"
Ciénega,2004,34.35,"25,57"
Ciénega,2005,35.65,"25,34"
Ciénega,2006,32.67,"24,65"
Ciénega,2007,35.17,"25,27"
Ciénega,2008,31.95,"25,70"
